,Abs_Total,Car.truck.or van,Car.truck.or vanDrove alone,Car.truck.or vanCarpooled,Car.truck.or vanCarpooledIn 2-person carpool,Car.truck.or vanCarpooledIn 3-person carpool,Car.truck.or vanCarpooledIn 4-person carpool,Car.truck.or vanCarpooledIn 5- or 6-person carpool,Car.truck.or vanCarpooledIn 7-or-more-person carpool,Public transportation (excluding taxicab),Public transportation (excluding taxicab)Bus,Public transportation (excluding taxicab)Subway or elevated rail,Public transportation (excluding taxicab)Long-distance train or commuter rail,Public transportation (excluding taxicab)Light rail.streetcar or trolley (carro público in Puerto Rico),Public transportation (excluding taxicab)Ferryboat,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked from home,Geography,NAME,state,State
1776,1060,960,870,90,58,18,7,7,0,19,19,0,0,0,0,0,0,0,10,50,21,1400000US17055040500,"Census Tract 405,Franklin County",17|055|040500,Illinois
1777,1277,1081,907,174,165,9,0,0,0,0,0,0,0,0,0,0,0,0,58,0,138,1400000US17055040600,"Census Tract 406,Franklin County",17|055|040600,Illinois
1778,1712,1657,1564,93,57,36,0,0,0,7,7,0,0,0,0,0,0,7,0,9,32,1400000US17055040700,"Census Tract 407,Franklin County",17|055|040700,Illinois
1779,1572,1535,1429,106,104,1,1,0,0,0,0,0,0,0,0,0,0,0,21,0,16,1400000US17055040800,"Census Tract 408,Franklin County",17|055|040800,Illinois
1780,977,887,807,80,76,4,0,0,0,39,39,0,0,0,0,0,0,0,13,0,38,1400000US17055040900,"Census Tract 409,Franklin County",17|055|040900,Illinois
1781,880,764,733,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,78,1400000US17055041000,"Census Tract 410,Franklin County",17|055|041000,Illinois
1782,1239,1179,1033,146,136,0,10,0,0,0,0,0,0,0,0,0,0,0,8,13,39,1400000US17055041100,"Census Tract 411,Franklin County",17|055|041100,Illinois
1783,1672,1551,1397,154,113,33,6,2,0,0,0,0,0,0,0,0,7,0,13,4,97,1400000US17055041200,"Census Tract 412,Franklin County",17|055|041200,Illinois
1784,1181,1083,1047,36,31,2,3,0,0,0,0,0,0,0,0,0,0,9,76,4,9,1400000US17057952800,"Census Tract 9528,Fulton County",17|057|952800,Illinois
1785,1345,1196,1139,57,57,0,0,0,0,0,0,0,0,0,0,9,0,0,50,0,90,1400000US17057952900,"Census Tract 9529,Fulton County",17|057|952900,Illinois
1786,951,832,733,99,76,21,2,0,0,2,0,0,2,0,0,0,0,0,26,12,79,1400000US17057953000,"Census Tract 9530,Fulton County",17|057|953000,Illinois
1787,988,945,879,66,49,17,0,0,0,0,0,0,0,0,0,1,0,0,0,10,32,1400000US17057953100,"Census Tract 9531,Fulton County",17|057|953100,Illinois
1788,1036,933,870,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,23,19,61,1400000US17057953200,"Census Tract 9532,Fulton County",17|057|953200,Illinois
1789,1403,1316,1149,167,167,0,0,0,0,0,0,0,0,0,0,0,0,14,31,0,42,1400000US17057953300,"Census Tract 9533,Fulton County",17|057|953300,Illinois
1790,677,579,518,61,44,6,11,0,0,0,0,0,0,0,0,0,0,0,80,0,18,1400000US17057953400,"Census Tract 9534,Fulton County",17|057|953400,Illinois
1791,1196,1141,1097,44,34,0,10,0,0,0,0,0,0,0,0,0,0,0,9,31,15,1400000US17057953500,"Census Tract 9535,Fulton County",17|057|953500,Illinois
1792,2183,2133,1989,144,115,29,0,0,0,1,1,0,0,0,0,0,0,0,49,0,0,1400000US17057953600,"Census Tract 9536,Fulton County",17|057|953600,Illinois
1793,1070,1038,924,114,94,5,15,0,0,0,0,0,0,0,0,0,0,0,7,2,23,1400000US17057953700,"Census Tract 9537,Fulton County",17|057|953700,Illinois
1794,960,873,828,45,8,22,15,0,0,0,0,0,0,0,0,4,0,0,30,8,45,1400000US17057953800,"Census Tract 9538,Fulton County",17|057|953800,Illinois
